"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL CONSTRUÍDA EM M2";"ÁREA LOCÁVEL EM M2";"EQUIPAMENTOS";"ESTRUTURA"
CERIMONIAL ITAMARATY LTDA EPP;ITAMARATY HALL;"27.322.676/0001-58";Sociedade Simples;;Empresa de Pequeno Porte;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;29.056.300;ES;Vitória;Santa Lúcia;RUA GIL MARTINS DE OLIVEIRA, 315 ;(27) 3211-6700;;financeiro@itamaratyeventos.com.br;;;"08.050936.25.0001-4";"8230-0/02-CASA DE FESTAS; GESTÃO DE (Primário), 5620-1/02-BUFFET; SERVIÇO DE ALIMENTAÇÃO (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário)";3.600;2.200;;Climatização,Sinalização de Tráfego,Banheiros,Área de Carga e Descarga,Salas,Auditórios,Espaço Multiuso,Pavilhão de Feiras,Área de Exposição,Estacionamento,Cozinha,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts,Área de Alimentos E/Ou Bebidas
CATERING ADMINISTRAÇÃO DE EVENTOS LTDA - EPP;CATERING FESTAS E EVENTOS;"02.667.577/0001-87";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;88.032.005;SC;Florianópolis;Saco Grande;RODOVIA SC 401, KM 04, 3854, ANEXO ACM SALÃO 03;(48) 3231-0777;;sabrina.melo@styllus.com;;;"24.051289.25.0001-9";"8230-0/02-CASA DE FESTAS; GESTÃO DE (Secundário), 8230-0/02-CASA DE RECEPÇÕES; GESTÃO DE (Secundário), 8230-0/02-ESPAÇO PARA EXPOSIÇÃO, USO DE TERCEIROS; GESTÃO DE (Secundário), 8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 8230-0/01-SHOW-ROOM; GESTÃO DE (Secundário)";2.408;1.810;;Climatização,Sinalização de Tráfego,Ambulatório,Banheiros,Área de Carga e Descarga,Escaninhos,Salas,Auditórios,Pavilhão de Feiras,Área de Exposição,Estacionamento,Cozinha,Energia Elétrica 220 Volts,Gerador de Energia
CENTRO DE CONVENÇÕES DO ESPIRITO SANTO LTDA EPP;CENTRO DE CONVENÇÕES DE VILA VELHA;"08.399.217/0001-28";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Centro de Convenções;Centro de Convenções e Feiras;29.102.040;ES;Vila Velha;Praia de Itaparica;AVENIDA SANTA LEOPOLDINA, Nº 840 - COQUEIRAL DE ITAPARICA ;(27) 3389-8000;;emerson@ccvv.com.br;;www.ccvv.com.br;"08.063050.25.0001-1";"8230-0/02-CASA DE EVENTOS; GESTÃO DE (Primário)";5.322;3.946;;Climatização,Banheiros,Área de Carga e Descarga,Salas,Auditórios,Espaço Multiuso,Área de Exposição,Cozinha,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts
C. PARK RESTAURANTE E EVENTOS LTDA - ME;CENTRAL PARK;"10.580.005/0001-94";Sociedade Empresária;;Microempresa;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;70.390.040;DF;Brasília;Asa Sul;ST SGAS Q 904 CONJ A PARTE BLOCO G RESTAURANTE;(61) 3201-5678;(61) 3201-5678;cparkescritorio@gmail.com;cparkeventos@gmail.com;;"07.046720.25.0001-5";"8230-0/02-CASA DE EVENTOS; GESTÃO DE (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";10.000;11.000;;Climatização,Sinalização de Tráfego,Sistema de Som,Cabine de Som,Banheiros,Área de Carga e Descarga,Salas,Área de Exposição,Estacionamento,Cozinha,Energia Elétrica 220 Volts,Área de Alimentos E/Ou Bebidas
CENTRO DE CONVENCOES E EVENTOS SANTA GENEBRA LTDA;CONAMERICA EVENTOS;"16.464.305/0001-94";Empresa Individual (EIRELI);;Microempresa;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;13.087.901;SP;Campinas;Jardim Santa Genebra;AVENIDA GUILHERME DE CAMPOS, 500;(19) 3112-4700;;adm@expodpedro.com.br;;;"26.076531.25.0001-9";"8230-0/01-SHOW-ROOM; GESTÃO DE (Primário)";13.757;13.757;;Banheiros,Área de Carga e Descarga,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts,Área de Alimentos E/Ou Bebidas
CERRADO CENTRO DE EVENTOS LTDA;CERRADO CENTRO DE EVENTOS;"18.279.499/0001-83";Sociedade Empresária;;Microempresa;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;78.735.330;MT;Rondonópolis;Residencial Sagrada Família;RUA ANTONIO FRANCISO BUOSI, 3796;(66) 3421-8666;(66) 9601-2909;sportvida.academia@hotmail.com;;;"13.069839.25.0001-7";"8230-0/02-CASA DE EVENTOS; GESTÃO DE (Primário)";1.200;800;;Climatização,Sinalização de Tráfego,Sistema de Som,Banheiros,Área de Carga e Descarga,Salas,Auditórios,Teatro,Cozinha,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts,Área de Alimentos E/Ou Bebidas
COMPANHIA MINEIRA DE PROMOCOES - PROMINAS;PROMINAS;"17.559.790/0001-42";Sociedade Empresária;"01/03/1984";Empresa de Médio ou Grande Porte;Em Operação;Centro de Convenções;Centro de Convenções e Feiras;30.170.121;MG;Belo Horizonte;Centro;RUA CURITIBA, 1264 -;(31) 3217-7900;(31) 3217-7900;prominas@prominasmg.com.br;;;"11.038059.25.0001-7";"8230-0/02-CASA DE FESTAS; GESTÃO DE (Secundário)";33.163;24.657;Cadeira Móvel,Elevadores,Rampas,Cadeira C/ Prancheta,Mesa ,Púlpito,Palco/Praticáveis,Sanitários Adaptados;Climatização,Banheiros,Área de Carga e Descarga,Salas,Auditórios,Teatro,Espaço Multiuso,Pavilhão de Feiras,Área de Exposição,Estacionamento,Cozinha,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts
VICCINI E AVILA REIS LTDA - ME;ABRACADABRA;"20.415.765/0001-08";Sociedade Empresária;"01/10/2005";Microempresa;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;78.890.000;MT;Sorriso;Sorriso;RUA CARAZINHO, 301, CENTRO;(66) 3544-1280;(66) 3544-2380;laudianaviccini@hotmail.com;;;"13.079823.25.0001-0";"8230-0/02-CASA DE EVENTOS; GESTÃO DE (Primário)";1.200;200;;Climatização,Banheiros,Área de Carga e Descarga,Salas,Estacionamento,Energia Elétrica 220 Volts,Energia Elétrica 110 Volts,Área de Alimentos E/Ou Bebidas
GL EVENTS CENTRO DE CONVENÇOES S.A.;RIOCENTRO;"05.495.076/0001-59";Sociedade Empresária;;Microempresa;Em Operação;Centro de Convenções;Centro de Convenções e Feiras;22.780.160;RJ;Rio de Janeiro;Recreio dos Bandeirantes;AVENIDA SALVADOR ALLENDE, 6555;(21) 3035-9100;;milena.palumbo@glbr.com.br;sandro.gileno@fagga.com.br;www.riocentro.com.br;"19.041346.25.0001-1";"8230-0/02-CASA DE FESTAS; GESTÃO DE (Primário)";80.000;80.000;Cadeira Móvel,Aparelhos Telefônicos,Computadores,Púlpito,Internet Sem Fio,Internet Com Fio,Máquina de Xérox,Aparelho de Scanner,Impressora,Rede Vpn,Rede Vlan,Rede Voip;Climatização,Sinalização de Tráfego,Cabine de Som,Banheiros,Área de Carga e Descarga,Salas,Auditórios,Espaço Multiuso,Pavilhão de Feiras,Área de Exposição,Cozinha,Energia Elétrica 220 Volts,Gerador de Energia,Energia Elétrica 110 Volts,Área de Alimentos E/Ou Bebidas
ARENA VIEW EMPREENDIMENTOS TURISTICOS LTDA;ARENA VIEW EMPREENDIMENTOS TURISTICOS LTDA;"17.298.641/0001-77";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Centro de Convenções;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;59.075.000;RN;Natal;Lagoa Nova;AV. SENADOR SALGADO FILHO, 1906;(84) 2020-1121;;grace@praiamarnatal.com.br;;;"20.070923.25.0001-0";"5510-8/01-HOTEL (Primário), 8230-0/02-CASA DE EVENTOS; GESTÃO DE (Secundário)";18.803;2.344;;Climatização,Banheiros,Energia Elétrica 220 Volts,Gerador de Energia
