"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"África do Sul";"Amazonas";"2011";"Janeiro";"2"
"África";"África do Sul";"Amazonas";"2011";"Fevereiro";"4"
"África";"África do Sul";"Amazonas";"2011";"Março";"5"
"África";"África do Sul";"Amazonas";"2011";"Abril";"2"
"África";"África do Sul";"Amazonas";"2011";"Maio";"1"
"África";"África do Sul";"Amazonas";"2011";"Junho";"1"
"África";"África do Sul";"Amazonas";"2011";"Julho";"7"
"África";"África do Sul";"Amazonas";"2011";"Agosto";"1"
"África";"África do Sul";"Amazonas";"2011";"Setembro";"5"
"África";"África do Sul";"Amazonas";"2011";"Outubro";"2"
"África";"África do Sul";"Amazonas";"2011";"Novembro";"0"
"África";"África do Sul";"Amazonas";"2011";"Dezembro";"11"
"África";"África do Sul";"Bahia";"2011";"Janeiro";"98"
"África";"África do Sul";"Bahia";"2011";"Fevereiro";"1"
"África";"África do Sul";"Bahia";"2011";"Março";"6"
"África";"África do Sul";"Bahia";"2011";"Abril";"5"
"África";"África do Sul";"Bahia";"2011";"Maio";"2"
"África";"África do Sul";"Bahia";"2011";"Junho";"0"
"África";"África do Sul";"Bahia";"2011";"Julho";"1"
"África";"África do Sul";"Bahia";"2011";"Agosto";"1"
"África";"África do Sul";"Bahia";"2011";"Setembro";"0"
"África";"África do Sul";"Bahia";"2011";"Outubro";"1"
"África";"África do Sul";"Bahia";"2011";"Novembro";"4"
"África";"África do Sul";"Bahia";"2011";"Dezembro";"12"
"África";"África do Sul";"Ceará";"2011";"Janeiro";"0"
"África";"África do Sul";"Ceará";"2011";"Fevereiro";"9"
"África";"África do Sul";"Ceará";"2011";"Março";"0"
"África";"África do Sul";"Ceará";"2011";"Abril";"9"
"África";"África do Sul";"Ceará";"2011";"Maio";"11"
"África";"África do Sul";"Ceará";"2011";"Junho";"1"
"África";"África do Sul";"Ceará";"2011";"Julho";"6"
"África";"África do Sul";"Ceará";"2011";"Agosto";"6"
"África";"África do Sul";"Ceará";"2011";"Setembro";"3"
"África";"África do Sul";"Ceará";"2011";"Outubro";"1"
"África";"África do Sul";"Ceará";"2011";"Novembro";"10"
"África";"África do Sul";"Ceará";"2011";"Dezembro";"9"
"África";"África do Sul";"Distrito Federal";"2011";"Janeiro";"6"
"África";"África do Sul";"Distrito Federal";"2011";"Fevereiro";"4"
"África";"África do Sul";"Distrito Federal";"2011";"Março";"11"
"África";"África do Sul";"Distrito Federal";"2011";"Abril";"1"
"África";"África do Sul";"Distrito Federal";"2011";"Maio";"1"
"África";"África do Sul";"Distrito Federal";"2011";"Junho";"2"
"África";"África do Sul";"Distrito Federal";"2011";"Julho";"6"
"África";"África do Sul";"Distrito Federal";"2011";"Agosto";"2"
"África";"África do Sul";"Distrito Federal";"2011";"Setembro";"1"
"África";"África do Sul";"Distrito Federal";"2011";"Outubro";"1"
"África";"África do Sul";"Distrito Federal";"2011";"Novembro";"2"
"África";"África do Sul";"Distrito Federal";"2011";"Dezembro";"10"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Janeiro";"5"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Março";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Abril";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Maio";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Junho";"1"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Julho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Agosto";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Setembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Outubro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Novembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"2011";"Dezembro";"0"
"África";"África do Sul";"Minas Gerais";"2011";"Janeiro";"6"
"África";"África do Sul";"Minas Gerais";"2011";"Fevereiro";"7"
"África";"África do Sul";"Minas Gerais";"2011";"Março";"0"
"África";"África do Sul";"Minas Gerais";"2011";"Abril";"7"
"África";"África do Sul";"Minas Gerais";"2011";"Maio";"6"
"África";"África do Sul";"Minas Gerais";"2011";"Junho";"0"
"África";"África do Sul";"Minas Gerais";"2011";"Julho";"1"
"África";"África do Sul";"Minas Gerais";"2011";"Agosto";"1"
"África";"África do Sul";"Minas Gerais";"2011";"Setembro";"6"
"África";"África do Sul";"Minas Gerais";"2011";"Outubro";"7"
"África";"África do Sul";"Minas Gerais";"2011";"Novembro";"12"
