"Continente";"País de Residência Permanente";"Unidade da Federação";"Mês";"Chegadas"
"África";"África do Sul";"Acre";"Janeiro";"0"
"África";"África do Sul";"Acre";"Fevereiro";"0"
"África";"África do Sul";"Acre";"Março";"0"
"África";"África do Sul";"Acre";"Abril";"0"
"África";"África do Sul";"Acre";"Maio";"0"
"África";"África do Sul";"Acre";"Junho";"0"
"África";"África do Sul";"Acre";"Julho";"0"
"África";"África do Sul";"Acre";"Agosto";"0"
"África";"África do Sul";"Acre";"Setembro";"0"
"África";"África do Sul";"Acre";"Outubro";"0"
"África";"África do Sul";"Acre";"Novembro";"0"
"África";"África do Sul";"Acre";"Dezembro";"0"
"África";"África do Sul";"Amapá";"Janeiro";"0"
"África";"África do Sul";"Amapá";"Fevereiro";"0"
"África";"África do Sul";"Amapá";"Março";"0"
"África";"África do Sul";"Amapá";"Abril";"0"
"África";"África do Sul";"Amapá";"Maio";"5"
"África";"África do Sul";"Amapá";"Junho";"0"
"África";"África do Sul";"Amapá";"Julho";"0"
"África";"África do Sul";"Amapá";"Agosto";"0"
"África";"África do Sul";"Amapá";"Setembro";"0"
"África";"África do Sul";"Amapá";"Outubro";"2"
"África";"África do Sul";"Amapá";"Novembro";"1"
"África";"África do Sul";"Amapá";"Dezembro";"8"
"África";"África do Sul";"Amazonas";"Janeiro";"0"
"África";"África do Sul";"Amazonas";"Fevereiro";"0"
"África";"África do Sul";"Amazonas";"Março";"0"
"África";"África do Sul";"Amazonas";"Abril";"2"
"África";"África do Sul";"Amazonas";"Maio";"6"
"África";"África do Sul";"Amazonas";"Junho";"2"
"África";"África do Sul";"Amazonas";"Julho";"0"
"África";"África do Sul";"Amazonas";"Agosto";"0"
"África";"África do Sul";"Amazonas";"Setembro";"2"
"África";"África do Sul";"Amazonas";"Outubro";"4"
"África";"África do Sul";"Amazonas";"Novembro";"1"
"África";"África do Sul";"Amazonas";"Dezembro";"10"
"África";"África do Sul";"Bahia";"Janeiro";"0"
"África";"África do Sul";"Bahia";"Fevereiro";"2"
"África";"África do Sul";"Bahia";"Março";"0"
"África";"África do Sul";"Bahia";"Abril";"2"
"África";"África do Sul";"Bahia";"Maio";"0"
"África";"África do Sul";"Bahia";"Junho";"0"
"África";"África do Sul";"Bahia";"Julho";"0"
"África";"África do Sul";"Bahia";"Agosto";"0"
"África";"África do Sul";"Bahia";"Setembro";"4"
"África";"África do Sul";"Bahia";"Outubro";"1"
"África";"África do Sul";"Bahia";"Novembro";"7"
"África";"África do Sul";"Bahia";"Dezembro";"4"
"África";"África do Sul";"Ceará";"Janeiro";"0"
"África";"África do Sul";"Ceará";"Fevereiro";"0"
"África";"África do Sul";"Ceará";"Março";"1"
"África";"África do Sul";"Ceará";"Abril";"0"
"África";"África do Sul";"Ceará";"Maio";"0"
"África";"África do Sul";"Ceará";"Junho";"0"
"África";"África do Sul";"Ceará";"Julho";"42"
"África";"África do Sul";"Ceará";"Agosto";"1"
"África";"África do Sul";"Ceará";"Setembro";"0"
"África";"África do Sul";"Ceará";"Outubro";"0"
"África";"África do Sul";"Ceará";"Novembro";"10"
"África";"África do Sul";"Ceará";"Dezembro";"0"
"África";"África do Sul";"Distrito Federal";"Janeiro";"3"
"África";"África do Sul";"Distrito Federal";"Fevereiro";"3"
"África";"África do Sul";"Distrito Federal";"Março";"1"
"África";"África do Sul";"Distrito Federal";"Abril";"6"
"África";"África do Sul";"Distrito Federal";"Maio";"6"
"África";"África do Sul";"Distrito Federal";"Junho";"13"
"África";"África do Sul";"Distrito Federal";"Julho";"10"
"África";"África do Sul";"Distrito Federal";"Agosto";"6"
"África";"África do Sul";"Distrito Federal";"Setembro";"4"
"África";"África do Sul";"Distrito Federal";"Outubro";"8"
"África";"África do Sul";"Distrito Federal";"Novembro";"1"
"África";"África do Sul";"Distrito Federal";"Dezembro";"10"
"África";"África do Sul";"Mato Grosso do Sul";"Janeiro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Março";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Maio";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Junho";"3"
"África";"África do Sul";"Mato Grosso do Sul";"Julho";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Agosto";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Setembro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Outubro";"0"
