"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
RC LOCADORA DE AUTOMOVEIS LTDA - ME;RC  LOCADORA DE AUTOMOVEIS;"14.094.154/0001-02";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;36.047.070;MG;Juiz de Fora;Bandeirantes;RUA SABINO FRANCISCO DE BARROS, 1007 CASA 1;(32) 3215-2268;;isalina@terra.com.br;;;"11.046544.85.0001-5";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
W.E. TRANS LOCADORA DE VEICULOS LTDA - ME;W.E. TRANS LOCADORA DE VEICULOS LTDA - ME;"19.299.364/0001-42";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;2.068.010;SP;São Paulo;Carandiru;"RUA JACUNA; N° 327-SALA: 2;    ";(11) 2252-3717;;osmar.pereira@wetransportes.com.br;;;"26.078669.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
PLANET VAN LOCADORA DE VEICULOS LTDA - EPP;PLANET VAN LOCADORA DE VEICULOS LTDA - EPP;"02.528.700/0001-89";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;2.615.030;SP;São Paulo;Vila Amélia;RUA WANDA MARTIN, 179 CJ 66;(11) 4102-2112;;sergiorosasilva@yahoo.com.br;;www.planetvan.com.br;"26.071259.85.0001-0";"7711-0/00-LOCADORA DE AUTOS (Primário)";Inglês;0
TAC TRANSPORTE E ALUGUEL DE CARROS LTDA - EPP;TAC RENT  A CAR;"05.097.586/0001-78";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.090.080;RN;Natal;Ponta Negra;RUA PEDRO FONSECA FILHO, 8821 - EDIF. MACARENA FLAT;(84) 3236-2315;;tactransportesltda@hotmail.com;;;"20.080682.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
HALLEY - LOCADORA DE VEICULOS LTDA - ME;HALLEY - LOCADORA DE VEICULOS;"19.534.886/0001-81";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;3.268.180;SP;São Paulo;Vila Tolstoi;RUA CAROLINA MARIA DE JESUS, 278;(11) 2707-5771;(11) 2707-5771;contato@halleylocacoes.com.br;;;"26.074076.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
H & T LOCAÇÃO TRANSPORTE E ORGANIZAÇÃO DE EVENTOS LTDA;H & T LOCAÇÃO TRANSPORTE E ORGANIZAÇÃO DE EVENTOS;"07.505.551/0001-56";Sociedade Empresária;"21/07/2005";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;49.035.730;SE;Aracaju;Atalaia;AV. SANTOS DUMONT 478 SALA B ANEXO JATOBÁ;(79) 3179-3744;(79) 3243-6891;fernanda.nozestur@hotmail.com;;;"25.027573.85.0001-2";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Nenhuma das Opções;0
RIVELINO CASTELO BRANCO CRAVEIRO - ME;RANIERI LOCADORA;"01.120.734/0001-77";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.170.192;CE;Fortaleza;Dionisio Torres;AV. SENADOR VIRGÍLIO TÁVORA 2580 - APT 103;(85) 3032-2893;(85) 99988-8619;rivelinoce@hotmail.com;;www.ranierilocadora.com;"06.077777.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
TRADICIONALI TRANSPORTES LTDA;TRADICIONALI TRANSPORTES;"20.711.515/0001-07";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;22.790.710;RJ;Rio de Janeiro;Recreio dos Bandeirantes;AV. ALFREDO BALTHAZAR DA SILVEIRA, N° 580, SALA 249 C;(21) 2487-0984;(21) 2487-0958;diogo@tradicionali.com.br;lucas@tradicionali.com.br;www.tradicionali.com.br;"19.072895.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
HORIZONTES LOCAÇÕES E FRETAMENTOS ME;HORIZONTES LOCAÇÕES E FRETAMENTOS;"08.711.416/0001-20";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;31.160.530;MG;Belo Horizonte;Palmares;RUA JOSÉ BARSAND DE LEUCAS, 249;(31) 3075-6051;;luzia-calra@bol.com.br;;;"11.042946.85.0001-3";"7711-0/00-LOCADORA DE CARROS (Primário), 4929-9/02-VEÍCULOS RODOVIÁRIOS DE PASSAGEIROS COM MOTORISTA, INTERNACIONAL; LOCAÇÃO DE (Secundário)";Espanhol ,Italiano ,Francês ,Inglês;1
ARENA VIPS AGENCIA DE VIAGENS E LOCADORA DE VEÍCULOS LTDA-ME;ARENA VIPS TOUR;"18.286.803/0001-10";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.261.232;RJ;Rio de Janeiro;Rio Comprido;RUA SANTA ALEXANDRINA, 512;(21) 7840-1005;(21) 2502-3758;asconsultoria@hotmail.com;feedbacktour@gmail.com;;"19.055882.85.0001-6";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
