"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"VOLUME DE ÁGUA";"LINGUAS";"SEGMENTOS TURISTICOS";"SERVIÇOS"
ROMA HOTEIS E REALIZAÇÕES  LTDA;ROMA  HOTEIS;"00.071.556/0001-79";Sociedade Empresária;"29/04/1996";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75.690.000;GO;Caldas Novas;Caldas Novas;AV SANTO AMARO Nº 1600                                      ;(64) 3453-1553;(64) 3453-1761;reservas@diroma.com.br;;WWW.DIROMA.COM.BR;"09.018807.65.0001-3";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";2.750;;5.000;Inglês;;
ROMA EMPREENDIMENTOS E TURISMO LTDA;ROMA EMPREENDIMENTOS E TURISMO;"03.465.317/0002-72";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75.690.000;GO;Caldas Novas;Caldas Novas;RUA:SAO CRISTOVAO N°805 BAIRRO:SOLAR CALDAS;(64) 3453-1586;(64) 3454-9006;jasom.vieira@diroma.com.br;;WWW.DIROMA.COM.BR;"09.017905.65.0002-7";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";7.497;;787;;;
EMPREENDIMENTO TURISTICO E ECOLOGICO DO SOL LTDA - ME;BALNEÁRIO DO SOL;"03.540.734/0001-51";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79.290.000;MS;Bonito;Bonito;ROD. DO TURISMO RIO FORMOSO S/N - KM 08;(67) 3255-3500;(67) 3255-1164;contato@balneariodosol.tur.br;escrita@asteccontabil.com;;"12.057881.65.0001-9";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";76.000;;0;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0008-94";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9.080.500;SP;Santo André;Jardim;AV INDUSTRIAL, N°: 600 ;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010951.65.0008-8";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1.000;;0;Inglês;;
MARIA MADALENA SCHULLER EIRELI - ME;PARQUE AQUATICO SALTO DAS AGUAS;"23.786.095/0001-16";Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;88.450.000;SC;Alfredo Wagner;Alfredo Wagner;ROD ESTADUAL SC 350, SN, KM 02;(48) 3276-1187;;schuller.renan@gmail.com;restaurante@saltodasaguas.com;www.saltodasaguas.com;"24.079230.65.0001-8";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";50.000;;1.000.000;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA.;PLAY ONE EMPREENDIMENTOS LTDA.;"04.933.060/0010-09";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9.750.700;SP;São Bernardo do Campo;Jardim do Mar;PC SAMUEL SABATINI, 200 - LOJA 112;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;beatriz.jesus@grupoaguia.com.br;;"26.010956.65.0010-4";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";636;;0;Inglês;;
CORSINO & CORSINO LTDA - ME;ARAUCARIA ACQUA PARK;"02.873.477/0001-07";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;83.706.750;PR;Araucária;Capela Velha;RUA YOSHIAKI NAGANO, 121;(41) 3031-0303;(41) 3643-1364;carlinhos@araucariapark.com.br;agostinhoneto@brturbo.com.br;www.araucariapark.com.br;"18.071139.65.0001-8";"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário), 8230-0/02-ESPAÇO PARA EXPOSIÇÃO, USO DE TERCEIROS; GESTÃO DE (Secundário)";60.000;;5.000.000;Espanhol ,Inglês;;
A CÉLIA BARROS;ENZO PARK;"04.422.806/0001-29";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;65.200.000;MA;Pinheiro;Pinheiro;AVENIDA PRINCIPAL 770 BAIRRO PACAS;(98) 3381-5318;(98) 3381-2436;magazinevieira@bol.com.br;;www.enzopark.com.br;"10.041696.65.0001-6";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário), 8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";15.000;;2.000.000;Nenhuma das Opções;;
PARADA DOS GUARÁS PARQUE E RESTAURANTE LTDA-ME;PARADA DOS GUARÁS;"10.638.730/0001-76";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;68.790.000;PA;Santa Isabel do Pará;Santa Isabel do Pará;ROD. BR 316, KM 52;(91) 3725-1259;;danielnetto.engcome@gmail.com;;;"14.072034.65.0001-3";"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";16.500;;1.700.000;Inglês;;
LISMAR LTDA;GAMESTATION;"10.476.588/0016-94";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;49.035.500;SE;Aracaju;Coroa do Meio;AVENIDA DELMIRO GOUVEIA LOJAS 218A/219A 2º PISO;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"25.077128.65.0016-1";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1.215;;0;Nenhuma das Opções;;
