"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"ESTRUTURA";"LINGUAS";"SERVIÇOS"
"ACQUAMANIA MULTIPLO LAZER S/A";"ACQUAMANIA";"39.303.847/0001-80";"Sociedade Empresária";"15/02/1995";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";29220000;"ES";"Guarapari";"Portal de Guarapari";"85477-KM3                                           ";"(27) 3221-6666";"(27) 3221-6675";"cynthia@acquamania.com.br";"";"www.acquamania.com.br";"2014-08-07 16:07:29.239";"2016-08-07";"08.010576.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";200000.00;"Água";"(""Bar,Ambulatório,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"(""Nenhuma das Opções"")";"Programas Recreativos ,Farmácia ,Ambulatório ,Estacionamento ,Fraldário ,Vestiário ,Serviço Medico"
"ÁGUAS CLARAS LAZER E PESCARIAS LTDA - EPP";"PARQUE ÁGUAS CLARAS";"00.059.603/0001-69";"Sociedade Empresária";"04/05/1994";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";83260000;"PR";"Matinhos";"Matinhos";"RODOVIA ALEXANDRA MATINHOS - PR 508 KM 20 CAMBARÁ";"(41) 9207-2676";"(41) 3024-8891";"parqueadm@parqueaguasclaras.com.br";"taisa@parqueaguasclaras.com.br";"www.parqueaguasclaras.com.br";"2015-05-08 14:43:36.338";"2017-05-08";"18.022970.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";242000.00;"Água";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Guarda-Volumes"")";"(Inglês)";""
"AGUAS DE LAJE BONITA EMPREENDIMENTOS TURISTICOS LTDA - ME";"ENGENHO LAJE BONITA";"05.817.979/0001-09";"Sociedade Empresária";"01/02/2008";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";55415000;"PE";"Quipapá";"Quipapá";"ENGENHO LAJE BONITA - S/N - BR104-KM 135-ZONA RURAL";"(81) 9292-5052";"";"engenho@lajebonita.com.br";"";"WWW.LAJEBONITA.COM.BR";"2015-01-23 11:59:12.306";"2017-01-23";"16.021370.60.0001-1";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1500.00;"Água";"(""Bar,Loja de Conveniência,Restaurante,Estacionamento Próprio,Vestiário"")";"(""Nenhuma das Opções"")";""
"BEACH PARK HOTÉIS E TURISMO S/A";"*****************************************";"11.805.397/0001-05";"Sociedade Empresária";"22/07/1987";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";61700000;"CE";"Aquiraz";"Aquiraz";"LOC PORTO DAS DUNAS, Nº 2734 ";"(85) 4012-3022";"";"danielrodrigues@beachpark.com.br";"rafaela@beachpark.com.br";"www.beachpark.com.br";"2014-11-28 11:32:49.253";"2016-11-28";"06.007081.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";60001.00;"Água";"(""Bar,Ambulatório,Caixa Eletrônico,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"(""Inglês,Espanhol"")";"Disponibiliza ou Comercializa Por Meio Da Web ,Ambulatório ,Estacionamento ,Serviço Medico"
"BONDINHOS AÉREOS PARQUE COLINA LTDA";"PARQUE COLINA";"12.071.455/0001-87";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";88270000;"SC";"Nova Trento";"Nova Trento";"RUA NICOLAU NICOLODI";"(48) 3267-4047";"(48) 3267-4047";"administrativo@parquecolina.com.br";"";"";"2014-11-03 16:11:23.016";"2016-11-03";"24.051092.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";0.00;"Entretenimento";"(""Loja de Conveniência,Fraldário,Estacionamento Próprio,Transporte Interno"")";"(Espanhol)";""
"BONTUR S.A. BONDINHOS AÉREOS";"PARQUE UNIPRAIAS";"83.551.382/0001-79";"Sociedade Empresária";"26/08/1999";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";88330908;"SC";"Balneário Camboriú";"Centro";"AV.ATLANTICA, 6006";"(47) 3404-7600";"(47) 3404-7600";"parque@unipraias.com.br";"";"www.unipraias.com.br";"2016-06-01 19:04:44.202";"2018-06-01";"24.019546.60.0001-7";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";201000.00;"Entretenimento";"(""Bar,Ambulatório,Caixa Eletrônico,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Guarda-Volumes"")";"(""Inglês,Espanhol"")";""
"CATARATAS DO IGUAÇU S/A";"CATARATAS DO IGUAÇU";"03.119.648/0001-70";"Sociedade Empresária";"22/05/1999";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";85851090;"PR";"Foz do Iguaçu";"Centro";"RODOVIA BR 469 - KM 18 - S/N";"(45) 3521-4400";"(45) 3521-4408";"contato@catarataspni.com.br";"";"WWW.CATARATASDOIGUACU.COM.BR";"2015-06-12 16:12:39.371";"2017-06-12";"18.008947.60.0001-4";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";;"Ecologia/Natural";"(Restaurante)";"(""Inglês,Espanhol"")";"Ambulatório ,Estacionamento ,Fraldário"
"COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR";"COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR";"33.229.410/0001-68";"Sociedade Empresária";"26/12/1912";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";22290240;"RJ";"Rio de Janeiro";"Botafogo";"AV. PASTEUR, 520                                            ";"(21) 2546-8400";"(21) 2542-1641";"bondinho@bondinho.com.br";"";"WWW.BONDINHO.COM.br";"2015-07-27 11:24:17.487";"2017-07-27";"19.011496.60.0001-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";280.00;"Cultural";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Vestiário,Transporte Interno"")";"(""Inglês,Espanhol"")";""
"ECO-NORONHA S/A";"ECO-NORONHA S/A";"19.879.417/0001-02";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";53990000;"PE";"Fernando de Noronha";"Fernando de Noronha";"ALAMEDA DO BOLDRO , S/N";"(81) 3619-1378";"";"financeirofn@econoronha.com.br";"";"";"2015-07-10 15:47:45.743";"2017-07-10";"16.072087.60.0001-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";0.00;"Entretenimento";"(""Bar,Loja de Conveniência,Guarda-Volumes"")";"(Inglês)";""
"ENGENHOCA EMPREENDIMENTOS TURISTICOS LTDA - EPP";"ENGENHOCA PARQUE ECOEDUCATIVO";"14.583.342/0001-96";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";61700000;"CE";"Aquiraz";"Aquiraz";"RUA RAIMUNDO COELHO 200 - CENTRO";"(85) 3361-1010";"(85) 3361-1333";"claudiatargino@parqueengenhoca.com.br";"engenhoca@parqueengenhoca.com.br";"www.parqueengenhoca.com.br";"2015-12-15 10:13:54.598";"2017-12-15";"06.075665.60.0001-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";63000.00;"Entretenimento";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Guarda-Volumes"")";"(Inglês)";""
