"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"LINGUAS";"SEGMENTOS TURISTICOS";"SERVIÇOS"
LISMAR LTDA;GAME STATION;"10.476.588/0080-01";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;51.110.160;PE;Recife;Pina;AVENIDA REPÚBLICA DO LIBANO N ° 251 ESPAÇO COMERC. Q - 305 PISO L3;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077135.60.0080-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";192;Entretenimento;Nenhuma das Opções;Entretenimento;
CATARATAS DO IGUAÇU S/A;CATARATAS DO IGUAÇU;"03.119.648/0001-70";Sociedade Empresária;"22/05/1999";Microempresa;Em Operação;Parque Temático;Parque Temático;85.851.090;PR;Foz do Iguaçu;Centro;RODOVIA BR 469 - KM 18 - S/N;(45) 3521-4400;(45) 3521-4408;contato@catarataspni.com.br;;WWW.CATARATASDOIGUACU.COM.BR;"18.008947.60.0001-4";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";;Ecologia/Natural;Espanhol ,Inglês;Ecologia/Natural;Ambulatório ,Estacionamento ,Fraldário
MARAJÓ PARK HOTEL E TURISMO LTDA-EPP;MARAJÓ PARK CLUB;"11.698.509/0001-76";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;68.800.000;PA;Breves;Breves;ESTRADA BREVES CORCOVADO, SN,KM 01;(91) 9333-1001;;softline-matriz-gerencia@hotmail.com;;;"14.038413.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 5510-8/01-HOTEL (Secundário)";6.000.000;Água;Inglês;Água;
J. B. WORLD ENTRETENIMENTOS S/A;BETO CARRERO WORLD;"85.248.987/0001-10";Sociedade Empresária;"27/03/1992";Microempresa;Em Operação;Parque Temático;Parque Temático;88.385.000;SC;Penha;Penha;RUA INÁCIO FRANCISCO DE SOUSA, 1597                         ;(47) 3261-2222;(47) 3261-2356;marketing@betocarrero.com.br;;www.betocarrero.com.br;"24.043053.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";14.000.000;Entretenimento;Espanhol;Entretenimento;Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Farmácia ,Ambulatório ,Estacionamento ,Fraldário ,Serviço Medico
HOPI HARI S/A;HOPI HARI;"00.924.432/0001-99";Sociedade Empresária;"16/11/1995";Microempresa;Em Operação;Parque Temático;Parque Temático;13.280.000;SP;Vinhedo;Vinhedo;ESTRADA MUNICIPAL VINHEDO/ITUPEVA, 7001                     ;(19) 3836-9007;(19) 3836-9073;dri@hopihari.com.br;;www.hopihari.com.br;"26.018055.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";670.001,12;Entretenimento;Espanhol ,Inglês;Entretenimento;
FAZENDA CONFRARIA PARQUE ECOLÓGICO E ENTRETENIMENTO LTDA;FAZENDA CONFRARIA;"11.070.239/0001-54";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;36.107.000;MG;Torreões;Torreões;RODOVIA MG 353 Nº 17.000 KM 114;(21) 2557-9563;(21) 99314-6352;miguelgomes@clubedacultura.com;;;"11.076536.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9001-9/02-EVENTOS MUSICAIS; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 9001-9/03-EVENTOS DE DANÇA; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário)";700.000;Entretenimento;Inglês;Entretenimento;
BARRETOS COUNTRY ACQUAPARK LTDA - EPP;BARRETOS COUNTRY ACQUAPARK;"08.328.461/0001-08";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;14.785.100;SP;Barretos;América;V PEDRO VICENTINI, 303 - 111 - FUNDOS;(17) 3321-2323;(17) 3321-2325;financeiro@barretoscountyhotel.com.br;contato@barretoscountyhotel.com.br;www.barretoscountyacquapark.com.br;"26.078699.60.0001-7";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";104.939,54;Entretenimento;Espanhol ,Inglês;Entretenimento;
MARINA PARK EMPREENDIMENTOS NÁUTICOS LTDA - EPP;MARINA PARK;"01.352.447/0001-92";Sociedade Empresária;"03/04/1996";Microempresa;Em Operação;Parque Temático;Parque Temático;95.555.000;RS;Capão da Canoa;Capão da Canoa;EST 389 Nº 1000- KM 34-5;(51) 3625-3049;(51) 9899-8462;construtora@marinaparkrs.com.br;vendas.01@marinaparkrs.com.br;www.marinaparkrs.com.br;"23.033344.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";0;Água;Espanhol;Água;
RCF EMPREENDIMENTOS LTDA - EPP;ALPEN PARK;"04.495.070/0001-19";Sociedade Empresária;"03/08/2001";Microempresa;Em Operação;Parque Temático;Parque Temático;95.680.000;RS;Canela;Canela;ROD ARNALDO OPPITZ  901                                 ;(54) 3282-9752;;direcao@alpenpark.com.br;adm@alpenpark.com.br;www.alpenpark.com.br;"23.024724.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";6.074;Entretenimento;Nenhuma das Opções;Entretenimento;Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Estacionamento ,Fraldário
ÁGUAS CLARAS LAZER E PESCARIAS LTDA - EPP;PARQUE ÁGUAS CLARAS;"00.059.603/0001-69";Sociedade Empresária;"04/05/1994";Microempresa;Em Operação;Parque Temático;Parque Temático;83.260.000;PR;Matinhos;Matinhos;RODOVIA ALEXANDRA MATINHOS - PR 508 KM 20 CAMBARÁ;(41) 9207-2676;(41) 3024-8891;parqueadm@parqueaguasclaras.com.br;taisa@parqueaguasclaras.com.br;www.parqueaguasclaras.com.br;"18.022970.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";242.000;Água;Inglês;Água;
LISMAR LTDA;GAMESTATION;"10.476.588/0006-12";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;50.070.030;PE;Recife;Boa Vista;RUA JOSÉ DE ALENCAR N° 105 LOJA 201 - E    3° PAVIMENTO;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077122.60.0006-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";364,4;Entretenimento;Nenhuma das Opções;Entretenimento;
LISMAR LTDA;GAMESTATION STATION;"10.476.588/0014-22";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;52.171.200;PE;Recife;Sítio dos Pintos;RUA DR . JOÃO SANTOS FILHO N ° 255 LOJA 318 L5;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077125.60.0014-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";535,97;Entretenimento;Nenhuma das Opções;Entretenimento;
JADERCI C. CARDOSO - ME;RECANTO CARDOSO;"09.626.778/0001-85";Sociedade Empresária;"17/06/2008";Microempresa;Em Operação;Parque Temático;Parque Temático;68.371.000;PA;Altamira;Centro;ESTRADA PRINCESA DO XINGU, RAMAL MONTE SANTO, KM 10, BAIRRO: ZONA RURAL;(93) 3593-0035;(93) 99129-7207;recantocardoso@gmail.com;;WWW.RECANTOCARDOSO.COM.BR;"14.021363.60.0001-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";65.000;Água;Nenhuma das Opções;Água;
LISMAR LTDA;GAME STATION;"10.476.588/0009-65";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;59.015.450;RN;Natal;Tirol;AV. BERNARDO VIEIRA, 3775 - EUC N.220 P.02;(84) 3421-4888;;marcela.marques@gstation.com.br;;;"20.077129.60.0009-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.152;Entretenimento;;Entretenimento;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0001-18";Sociedade Empresária;"24/04/2002";Microempresa;Em Operação;Parque Temático;Parque Temático;5.038.120;SP;São Paulo;Parque Residencial da Lapa;RUA PROFESSOR CLEMENTE PASTORE, 52;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010944.60.0001-7";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Secundário)";850,43;Entretenimento;Inglês;Entretenimento;Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Ambulatório ,Estacionamento ,Fraldário ,Vestiário ,Serviço Medico
COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR;COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR;"33.229.410/0001-68";Sociedade Empresária;"26/12/1912";Microempresa;Em Operação;Parque Temático;Parque Temático;22.290.240;RJ;Rio de Janeiro;Botafogo;AV. PASTEUR, 520                                            ;(21) 2546-8400;(21) 2542-1641;bondinho@bondinho.com.br;;WWW.BONDINHO.COM.br;"19.011496.60.0001-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";280;Cultural;Espanhol ,Inglês;Cultural;
LISMAR LTDA;GAME STATION;"10.476.588/0020-70";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;41.500.000;BA;Salvador;São Cristóvão;RODOVIA 324, SALVADOR NORTE SHOPPING, SALÃO COML.3011, SETOR COML 304, L3;(81) 3201-0300;;paula@gamestation.com.br;;www.gamestation.com.br;"05.077131.60.0020-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.001,9;Entretenimento;Nenhuma das Opções;Entretenimento;
