"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"14 BIS CHOPERIA E RESTAURANTE LTDA - ME";"14 BIS CHOPERIA E RESTAURANTE";"23.797.856/0001-35";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76270000;"GO";"Jussara";"Jussara";"AV. MARECHAL RONDON SN QD. 02 LT. 02 SETOR AEROPORTO";"(62) 3373-2243";"";"saldanha10@gmail.com";"";"";"21/12/2015";"21/12/2017";"09.075781.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";100;"(""Nenhuma das Opções"")"
"3H COMERCIO DE ALIMENTOS LTDA - ME";"3H COMERCIO DE ALIMENTOS";"21.286.278/0001-47";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79035490;"MS";"Campo Grande";"Parque dos Novos Estados";"AV. CONSUL ASSAF TRAD, 4796, LJ 255";"(67) 9271-3577";"(67) 3325-4478";"elianemsdd@gmail.com";"";"";"18/09/2015";"18/09/2017";"12.073588.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";500;"(Inglês)"
"A B COSTELARIA LTDA-ME";"COSTELARIA FOGO NA BRASA";"23.390.678/0001-23";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74120130;"GO";"Goiânia";"Setor Oeste";"R 22 N 677 QD:K-10 LT:12E SETOR OESTE";"(62) 3092-7852";"";"damatacontabilidade@gmail.com";"";"";"07/01/2016";"07/01/2018";"09.076011.15.0001-4";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;"(""Nenhuma das Opções"")"
"A CÉLIA BARROS";"ENZO PARK";"04.422.806/0001-29";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65200000;"MA";"Pinheiro";"Pinheiro";"AVENIDA PRINCIPAL 770 BAIRRO PACAS";"(98) 3381-5318";"(98) 3381-2436";"magazinevieira@bol.com.br";"";"www.enzopark.com.br";"29/05/2015";"29/05/2017";"10.041698.15.0001-0";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário), 8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";160;"(""Nenhuma das Opções"")"
"A FÁBRICA BAR E RESTAURANTE LTDA - ME";"A FÁBRICA";"11.004.583/0001-45";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";53120160;"PE";"Olinda";"Carmo";"TV.  MUNICIPAL , N° 09";"(81) 3079-4165";"";"afabricabar@hotmail.com";"";"";"05/12/2014";"05/12/2016";"16.067976.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;"(Inglês)"
"A G NERY - ME";"PIZZARIA PAULISTANA";"11.479.355/0001-21";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79803050;"MS";"Dourados";"Jardim América";"RUA FLORIANO PEIXOTO, 599";"(67) 3421-1616";"(67) 3421-1616";"lunneyni@hotmail.com";"";"";"18/08/2014";"18/08/2016";"12.065607.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Inglês,Espanhol"")"
"A G RESTAURANTE E CHOPERIA LTDA - ME";"BOTECO DO NECO";"03.821.134/0001-61";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87013260;"PR";"Maringá";"Zona 01";"AV. TIRADENTES, 133";"(44) 3269-1588";"";"botecodoneco@hotmail.com";"d.kemmer@hotmail.com";"www.botecodoneco.com.br";"07/08/2015";"07/08/2017";"18.038152.15.0001-6";"5611-2/02-CHOPARIA COM SERVIÇO COMPLETO (Primário)";200;"(""Inglês,Espanhol"")"
"A LOUSADA FERREIRA ME";"CASTELO PIZZARIA";"01.277.203/0001-92";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62580000;"CE";"Acaraú";"Acaraú";"RUA SANTO ANTONIO, 1550 - CENTRO";"(88) 3661-1731";"";"casteloencantadopizzaria@hotmail.com";"";"www.casteloencantadopizzaria.com";"18/12/2014";"18/12/2016";"06.046655.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Secundário)";500;"(Inglês)"
"A M CASTRO DE OLIVEIRA-ME";"OBA RESTAURANTE";"12.560.061/0001-92";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68600000;"PA";"Bragança";"Bragança";"RODOVIA BR 308 Nº 1, BAIRRO RIOZINHO";"(91) 3425-4130";"";"castro.antonia@hotmail.com";"";"";"01/10/2015";"01/10/2017";"14.073959.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"("""")"
"A M DE HOLANDA";"CHURRASCARIA TROPEIRO";"04.488.719/0001-74";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69932000;"AC";"Brasiléia";"Brasiléia";"AV.JOSÉ RUI LINO,191-CENTRO";"(68) 9966-4089";"";"churrascariatropeiro@hotmail.com";"";"";"06/07/2015";"06/07/2017";"01.055187.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
