"Continente";"País de Residência Permanente";"Unidade da Federação";"Mês";"Chegadas"
"África";"África do Sul";"Acre";"Janeiro";"0"
"África";"África do Sul";"Acre";"Fevereiro";"1"
"África";"África do Sul";"Acre";"Março";"0"
"África";"África do Sul";"Acre";"Abril";"0"
"África";"África do Sul";"Acre";"Maio";"1"
"África";"África do Sul";"Acre";"Junho";"1"
"África";"África do Sul";"Acre";"Julho";"1"
"África";"África do Sul";"Acre";"Agosto";"1"
"África";"África do Sul";"Acre";"Setembro";"0"
"África";"África do Sul";"Acre";"Outubro";"0"
"África";"África do Sul";"Acre";"Novembro";"0"
"África";"África do Sul";"Acre";"Dezembro";"0"
"África";"África do Sul";"Amapá";"Janeiro";"1"
"África";"África do Sul";"Amapá";"Fevereiro";"1"
"África";"África do Sul";"Amapá";"Março";"0"
"África";"África do Sul";"Amapá";"Abril";"0"
"África";"África do Sul";"Amapá";"Maio";"0"
"África";"África do Sul";"Amapá";"Junho";"2"
"África";"África do Sul";"Amapá";"Julho";"0"
"África";"África do Sul";"Amapá";"Agosto";"0"
"África";"África do Sul";"Amapá";"Setembro";"0"
"África";"África do Sul";"Amapá";"Outubro";"0"
"África";"África do Sul";"Amapá";"Novembro";"0"
"África";"África do Sul";"Amapá";"Dezembro";"0"
"África";"África do Sul";"Amazonas";"Janeiro";"3"
"África";"África do Sul";"Amazonas";"Fevereiro";"1"
"África";"África do Sul";"Amazonas";"Março";"3"
"África";"África do Sul";"Amazonas";"Abril";"2"
"África";"África do Sul";"Amazonas";"Maio";"3"
"África";"África do Sul";"Amazonas";"Junho";"0"
"África";"África do Sul";"Amazonas";"Julho";"1"
"África";"África do Sul";"Amazonas";"Agosto";"5"
"África";"África do Sul";"Amazonas";"Setembro";"3"
"África";"África do Sul";"Amazonas";"Outubro";"5"
"África";"África do Sul";"Amazonas";"Novembro";"0"
"África";"África do Sul";"Amazonas";"Dezembro";"0"
"África";"África do Sul";"Bahia";"Janeiro";"1"
"África";"África do Sul";"Bahia";"Fevereiro";"0"
"África";"África do Sul";"Bahia";"Março";"0"
"África";"África do Sul";"Bahia";"Abril";"3"
"África";"África do Sul";"Bahia";"Maio";"1"
"África";"África do Sul";"Bahia";"Junho";"0"
"África";"África do Sul";"Bahia";"Julho";"0"
"África";"África do Sul";"Bahia";"Agosto";"0"
"África";"África do Sul";"Bahia";"Setembro";"1"
"África";"África do Sul";"Bahia";"Outubro";"0"
"África";"África do Sul";"Bahia";"Novembro";"4"
"África";"África do Sul";"Bahia";"Dezembro";"0"
"África";"África do Sul";"Ceará";"Janeiro";"0"
"África";"África do Sul";"Ceará";"Fevereiro";"0"
"África";"África do Sul";"Ceará";"Março";"0"
"África";"África do Sul";"Ceará";"Abril";"2"
"África";"África do Sul";"Ceará";"Maio";"5"
"África";"África do Sul";"Ceará";"Junho";"2"
"África";"África do Sul";"Ceará";"Julho";"1"
"África";"África do Sul";"Ceará";"Agosto";"1"
"África";"África do Sul";"Ceará";"Setembro";"1"
"África";"África do Sul";"Ceará";"Outubro";"3"
"África";"África do Sul";"Ceará";"Novembro";"0"
"África";"África do Sul";"Ceará";"Dezembro";"0"
"África";"África do Sul";"Distrito Federal";"Janeiro";"3"
"África";"África do Sul";"Distrito Federal";"Fevereiro";"0"
"África";"África do Sul";"Distrito Federal";"Março";"3"
"África";"África do Sul";"Distrito Federal";"Abril";"0"
"África";"África do Sul";"Distrito Federal";"Maio";"2"
"África";"África do Sul";"Distrito Federal";"Junho";"2"
"África";"África do Sul";"Distrito Federal";"Julho";"2"
"África";"África do Sul";"Distrito Federal";"Agosto";"2"
"África";"África do Sul";"Distrito Federal";"Setembro";"2"
"África";"África do Sul";"Distrito Federal";"Outubro";"2"
"África";"África do Sul";"Distrito Federal";"Novembro";"2"
"África";"África do Sul";"Distrito Federal";"Dezembro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"Janeiro";"2"
"África";"África do Sul";"Mato Grosso do Sul";"Fevereiro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Março";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Abril";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Maio";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Junho";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Julho";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Agosto";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Setembro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Outubro";"1"
"África";"África do Sul";"Mato Grosso do Sul";"Novembro";"0"
"África";"África do Sul";"Mato Grosso do Sul";"Dezembro";"0"
"África";"África do Sul";"Minas Gerais";"Janeiro";"1"
"África";"África do Sul";"Minas Gerais";"Fevereiro";"0"
"África";"África do Sul";"Minas Gerais";"Março";"2"
"África";"África do Sul";"Minas Gerais";"Abril";"0"
"África";"África do Sul";"Minas Gerais";"Maio";"1"
"África";"África do Sul";"Minas Gerais";"Junho";"1"
"África";"África do Sul";"Minas Gerais";"Julho";"5"
"África";"África do Sul";"Minas Gerais";"Agosto";"3"
"África";"África do Sul";"Minas Gerais";"Setembro";"3"
