Continente,País,UF,Ano,Mês,Chegadas
0,África,África do Sul,Amazonas,2008,1,19
1,África,África do Sul,Amazonas,2008,2,0
2,África,África do Sul,Amazonas,2008,3,1
3,África,África do Sul,Amazonas,2008,4,1
4,África,África do Sul,Amazonas,2008,5,4
5,África,África do Sul,Amazonas,2008,6,2
6,África,África do Sul,Amazonas,2008,7,12
7,África,África do Sul,Amazonas,2008,8,0
8,África,África do Sul,Amazonas,2008,9,4
9,África,África do Sul,Amazonas,2008,10,0
10,África,África do Sul,Amazonas,2008,11,7
11,África,África do Sul,Amazonas,2008,12,3
12,África,África do Sul,Bahia,2008,1,7
13,África,África do Sul,Bahia,2008,2,1
14,África,África do Sul,Bahia,2008,3,13
15,África,África do Sul,Bahia,2008,4,5
16,África,África do Sul,Bahia,2008,5,4
17,África,África do Sul,Bahia,2008,6,3
18,África,África do Sul,Bahia,2008,7,10
19,África,África do Sul,Bahia,2008,8,12
20,África,África do Sul,Bahia,2008,9,4
21,África,África do Sul,Bahia,2008,10,3
22,África,África do Sul,Bahia,2008,11,0
23,África,África do Sul,Bahia,2008,12,3
24,África,África do Sul,Ceará,2008,1,257
25,África,África do Sul,Ceará,2008,2,419
26,África,África do Sul,Ceará,2008,3,97
27,África,África do Sul,Ceará,2008,4,1
28,África,África do Sul,Ceará,2008,5,1
29,África,África do Sul,Ceará,2008,6,166
30,África,África do Sul,Ceará,2008,7,4
31,África,África do Sul,Ceará,2008,8,105
32,África,África do Sul,Ceará,2008,9,61
33,África,África do Sul,Ceará,2008,10,70
34,África,África do Sul,Ceará,2008,11,6
35,África,África do Sul,Ceará,2008,12,1
36,África,África do Sul,Distrito Federal,2008,1,6
37,África,África do Sul,Distrito Federal,2008,2,0
38,África,África do Sul,Distrito Federal,2008,3,0
39,África,África do Sul,Distrito Federal,2008,4,2
40,África,África do Sul,Distrito Federal,2008,5,3
41,África,África do Sul,Distrito Federal,2008,6,2
42,África,África do Sul,Distrito Federal,2008,7,1
43,África,África do Sul,Distrito Federal,2008,8,5
44,África,África do Sul,Distrito Federal,2008,9,5
45,África,África do Sul,Distrito Federal,2008,10,7
46,África,África do Sul,Distrito Federal,2008,11,3
47,África,África do Sul,Distrito Federal,2008,12,7
48,África,África do Sul,Mato Grosso do Sul,2008,1,0
49,África,África do Sul,Mato Grosso do Sul,2008,2,0
50,África,África do Sul,Mato Grosso do Sul,2008,3,0
51,África,África do Sul,Mato Grosso do Sul,2008,4,0
52,África,África do Sul,Mato Grosso do Sul,2008,5,0
53,África,África do Sul,Mato Grosso do Sul,2008,6,0
54,África,África do Sul,Mato Grosso do Sul,2008,7,0
55,África,África do Sul,Mato Grosso do Sul,2008,8,0
